application_id,citizen_id,scheme_id,application_date,declared_income,declared_land_area,document_count,application_status,previous_application,duplicate_identity_flag,income_mismatch_flag,land_mismatch_flag,multiple_scheme_flag,fraud_label,income_deviation_pct,land_deviation_pct,application_frequency,days_since_previous_application,scheme_claim_count,benefit_overlap_count,document_completeness,citizen_data_consistency,application_consistency_score,suspicious_pattern_score
APP10036,CIT10281,SCH007,2025-01-17,155329,0.0,3,Under Review,False,0,0,0,0,0,2.2,0.0,1,-1,1,1,0.75,98.62,84.24,0
APP10037,CIT10291,SCH009,2025-01-18,19936,2.75,5,Approved,False,0,0,0,0,0,3.43,0.73,1,-1,1,1,1.0,97.49,99.79,0
APP10038,CIT10163,SCH004,2025-01-18,12315,0.0,4,Under Review,False,0,0,0,0,0,2.62,0.0,1,-1,1,1,1.0,98.14,100.0,4
APP10039,CIT10278,SCH010,2025-01-19,96297,0.22,5,Under Review,False,0,0,0,0,0,0.3,4.35,1,-1,1,0,1.0,98.57,100.0,0
APP10040,CIT10421,SCH010,2025-01-19,50564,0.0,3,Approved,False,0,0,0,0,0,2.39,0.0,1,-1,1,0,1.0,99.86,99.51,0
APP10041,CIT10470,SCH004,2025-01-19,22004,0.07,5,Approved,False,0,0,0,0,0,0.65,0.0,1,-1,1,1,1.0,99.24,99.47,1
APP10042,CIT10439,SCH006,2025-01-20,12383,2.97,3,Under Review,False,0,0,0,0,0,3.19,2.41,1,-1,1,1,1.0,98.12,100.0,0
APP10043,CIT10203,SCH008,2025-01-20,64118,0.46,3,Approved,False,0,0,0,0,0,3.21,2.13,1,-1,1,1,0.75,95.94,84.29,2
APP10044,CIT10096,SCH009,2025-01-21,191640,0.0,4,Under Review,False,0,0,0,0,0,4.84,0.0,1,-1,1,1,1.0,96.76,99.94,0
APP10045,CIT10483,SCH001,2025-01-21,39599,0.0,4,Under Review,False,0,0,0,0,0,0.21,0.0,1,-1,1,1,1.0,99.78,100.0,0
APP10046,CIT10223,SCH001,2025-01-22,33857,5.76,4,Approved,False,0,0,1,0,1,0.3,569.77,1,-1,1,1,1.0,55.97,97.91,34
APP10047,CIT10237,SCH008,2025-01-22,18372,0.15,4,Under Review,False,0,0,0,0,0,0.61,0.0,1,-1,1,1,1.0,99.99,100.0,4
APP10048,CIT10117,SCH011,2025-01-23,25881,1.3,1,Submitted,False,0,1,0,0,1,63.23,0.78,1,-1,1,0,0.25,70.34,53.93,44
APP10049,CIT10456,SCH007,2025-01-23,13172,0.13,4,Submitted,False,0,0,0,0,0,2.74,0.0,1,-1,1,1,1.0,100.0,98.64,3
APP10050,CIT10192,SCH009,2025-01-24,31791,2.54,2,Approved,False,0,1,0,0,1,56.06,3.42,1,-1,1,1,0.67,74.66,80.7,24
APP10051,CIT10276,SCH011,2025-01-24,61943,0.0,4,Submitted,False,0,0,0,0,0,0.79,0.0,1,-1,1,0,1.0,99.79,100.0,1
APP10052,CIT10106,SCH003,2025-01-25,54269,0.0,4,Submitted,True,0,0,0,1,0,0.13,0.0,2,24,2,2,1.0,99.46,100.0,5
APP10053,CIT10482,SCH010,2025-01-25,59688,0.0,5,Approved,False,0,0,0,0,0,2.22,0.0,1,-1,1,0,1.0,98.01,99.24,5
APP10054,CIT10004,SCH012,2025-01-26,12096,0.2,5,Submitted,False,0,0,0,0,0,2.29,0.0,1,-1,1,1,1.0,99.21,100.0,0
APP10055,CIT10018,SCH005,2025-01-26,34082,0.0,3,Approved,False,0,0,0,0,0,1.86,0.0,1,-1,1,1,0.75,97.97,86.75,0
APP10056,CIT10307,SCH003,2025-01-27,293308,4.42,4,Submitted,False,0,0,0,0,0,3.96,1.12,1,-1,1,1,1.0,97.46,97.55,2
APP10057,CIT10452,SCH005,2025-01-27,11685,0.0,4,Submitted,False,0,0,1,0,0,2.62,100.0,1,-1,1,1,1.0,54.76,97.73,28
APP10058,CIT10020,SCH010,2025-01-28,118478,0.03,5,Approved,False,0,0,0,0,0,0.87,0.0,1,-1,1,0,1.0,100.0,100.0,1
APP10059,CIT10122,SCH001,2025-01-28,116915,1.2,3,Approved,True,0,0,0,1,0,0.13,10.45,2,26,2,2,0.75,93.68,86.87,1
APP10060,CIT10137,SCH011,2025-01-28,73708,3.93,4,Under Review,False,0,0,0,0,0,2.35,1.03,1,-1,1,0,1.0,98.54,99.18,0
APP10061,CIT10080,SCH004,2025-01-29,122700,0.64,3,Under Review,False,0,0,0,0,0,3.8,1.54,1,-1,1,1,0.75,98.89,85.52,6
APP10062,CIT10154,SCH006,2025-01-29,55686,3.69,4,Submitted,False,0,0,0,0,0,2.45,1.37,1,-1,1,1,1.0,97.11,97.87,3
APP10063,CIT10358,SCH002,2025-01-30,174329,5.28,3,Approved,False,0,0,1,0,1,1.91,528.0,1,-1,1,1,0.75,54.9,85.13,27
APP10064,CIT10025,SCH007,2025-01-30,64748,1.63,4,Under Review,False,0,0,0,0,0,0.07,1.24,1,-1,1,1,1.0,98.94,99.25,0
APP10065,CIT10452,SCH008,2025-01-31,11672,0.16,3,Under Review,True,0,0,0,1,0,2.73,0.0,2,4,2,2,0.75,98.66,86.5,0
APP10066,CIT10169,SCH001,2025-01-31,78970,7.94,2,Under Review,False,0,0,1,0,1,0.07,443.84,1,-1,1,1,0.5,56.9,69.26,54
APP10067,CIT10059,SCH004,2025-02-01,26610,3.25,3,Submitted,False,0,0,0,0,0,2.83,1.22,1,-1,1,1,0.75,99.35,85.6,0
APP10068,CIT10301,SCH011,2025-02-01,70775,0.0,4,Submitted,False,0,0,0,0,0,4.51,0.0,1,-1,1,0,1.0,98.72,100.0,8
APP10069,CIT10041,SCH004,2025-02-02,22166,0.0,3,Under Review,False,0,0,0,0,0,2.29,0.0,1,-1,1,1,0.75,98.88,85.23,0
APP10070,CIT10038,SCH005,2025-02-02,57051,1.79,4,Approved,False,0,0,0,0,0,2.99,1.1,1,-1,1,1,1.0,97.33,97.7,5
APP10071,CIT10117,SCH012,2025-02-03,68365,1.28,5,Under Review,True,0,0,0,0,0,2.88,0.78,2,11,2,1,1.0,98.48,100.0,3
APP10072,CIT10275,SCH012,2025-02-03,59433,1.72,2,Approved,False,1,0,0,0,1,5.26,4.88,1,2,1,1,0.5,95.93,41.0,43
APP10073,CIT10270,SCH004,2025-02-04,27356,0.0,4,Approved,False,0,0,0,0,0,0.09,0.0,1,-1,1,1,1.0,99.2,100.0,1
APP10074,CIT10127,SCH009,2025-02-04,11680,0.09,3,Submitted,False,0,0,0,0,0,2.67,0.0,1,-1,1,1,1.0,98.77,100.0,0
APP10075,CIT10405,SCH007,2025-02-05,60885,2.23,5,Approved,False,0,0,0,0,0,0.77,1.83,1,-1,1,1,1.0,100.0,100.0,3
APP10076,CIT10399,SCH002,2025-02-05,39074,0.0,4,Under Review,False,0,0,0,0,0,2.79,0.0,1,-1,1,1,1.0,96.97,100.0,0
APP10077,CIT10003,SCH001,2025-02-06,23088,2.01,4,Approved,False,0,0,0,0,0,1.13,0.0,1,-1,1,1,1.0,100.0,99.71,2
APP10078,CIT10293,SCH009,2025-02-06,24136,1.76,3,Submitted,False,0,0,0,0,0,1.26,0.57,1,-1,1,1,1.0,97.86,98.71,4
APP10079,CIT10373,SCH001,2025-02-06,83961,3.21,5,Approved,False,0,0,0,0,0,1.52,1.83,1,-1,1,1,1.0,96.83,99.67,0
APP10080,CIT10498,SCH006,2025-02-07,93485,0.41,5,Submitted,False,0,0,0,0,0,0.63,2.5,1,-1,1,1,1.0,97.96,100.0,0
APP10081,CIT10430,SCH002,2025-02-07,12221,0.0,4,Submitted,False,0,0,0,0,0,1.84,0.0,1,-1,1,1,1.0,100.0,100.0,3
APP10082,CIT10016,SCH004,2025-02-08,120871,0.0,5,Approved,False,0,0,1,0,0,3.5,100.0,1,-1,1,1,1.0,52.16,100.0,34
APP10083,CIT10398,SCH006,2025-02-08,107586,0.01,3,Approved,False,1,0,0,0,1,7.61,0.0,1,2,1,1,1.0,95.02,72.52,22
APP10084,CIT10265,SCH005,2025-02-09,26050,0.27,4,Approved,False,0,0,0,0,0,17.63,0.0,1,-1,1,1,1.0,93.23,100.0,5
APP10085,CIT10239,SCH011,2025-02-09,19439,1.0,5,Submitted,False,0,0,0,0,0,3.96,1.96,1,-1,1,0,1.0,96.99,97.22,0
APP10086,CIT10263,SCH006,2025-02-10,11785,0.0,5,Under Review,False,0,0,0,0,0,1.79,0.0,1,-1,1,1,1.0,100.0,100.0,0
APP10087,CIT10398,SCH003,2025-02-10,112833,0.01,4,Approved,True,1,0,0,1,0,3.1,0.0,2,2,2,2,1.0,97.8,68.94,24
APP10088,CIT10134,SCH005,2025-02-11,66841,0.2,5,Approved,False,0,0,0,0,0,0.35,0.0,1,-1,1,1,1.0,99.31,98.25,0
APP10089,CIT10213,SCH002,2025-02-11,17962,0.0,4,Submitted,False,0,0,0,0,0,0.51,0.0,1,-1,1,1,1.0,100.0,99.31,1
APP10090,CIT10015,SCH007,2025-02-12,54434,0.0,5,Under Review,False,0,0,0,0,0,2.67,0.0,1,-1,1,1,1.0,97.73,100.0,0
APP10091,CIT10436,SCH003,2025-02-12,12367,0.75,4,Approved,False,0,0,0,0,0,3.06,2.6,1,-1,1,1,1.0,99.37,98.62,0
APP10092,CIT10328,SCH001,2025-02-13,11703,3.01,4,Under Review,False,0,0,0,0,0,2.48,2.38,1,-1,1,1,1.0,99.11,99.15,3
APP10093,CIT10418,SCH008,2025-02-13,22715,0.2,3,Approved,False,0,0,0,0,0,3.8,0.0,1,-1,1,1,0.75,99.31,83.29,0
APP10094,CIT10360,SCH008,2025-02-14,100708,6.42,4,Under Review,False,0,0,1,0,1,0.71,935.48,1,-1,1,1,1.0,54.18,100.0,28
APP10095,CIT10129,SCH003,2025-02-14,81846,1.06,5,Approved,True,0,0,0,0,0,2.43,0.95,2,44,2,1,1.0,97.07,100.0,0
APP10096,CIT10352,SCH007,2025-02-15,109946,0.0,5,Submitted,False,0,0,0,0,0,2.63,0.0,1,-1,1,1,1.0,100.0,99.26,0
APP10097,CIT10122,SCH009,2025-02-15,115393,1.32,4,Approved,True,0,0,0,1,0,1.17,1.49,3,18,3,3,1.0,98.69,99.04,16
APP10098,CIT10241,SCH008,2025-02-16,197395,0.0,4,Submitted,False,0,0,0,0,0,0.08,0.0,1,-1,1,1,1.0,100.0,100.0,0
APP10099,CIT10115,SCH003,2025-02-16,18934,0.29,1,Under Review,False,1,0,0,0,1,0.48,3.33,1,2,1,1,0.25,98.44,25.56,39
APP10100,CIT10197,SCH002,2025-02-16,23123,4.79,2,Under Review,False,0,0,1,0,1,4.49,574.65,1,-1,1,1,0.5,53.23,71.16,47
APP10101,CIT10222,SCH010,2025-02-17,68938,0.0,4,Submitted,False,0,0,0,0,0,1.87,0.0,1,-1,1,0,1.0,99.04,97.56,6
APP10102,CIT10214,SCH007,2025-02-17,58182,0.96,2,Under Review,False,0,1,0,0,1,62.35,3.23,1,-1,1,1,0.5,72.23,72.73,48
APP10103,CIT10404,SCH007,2025-02-18,130496,0.22,3,Under Review,False,0,0,0,0,0,3.97,0.0,1,-1,1,1,0.75,96.23,85.05,1
APP10104,CIT10080,SCH009,2025-02-18,122149,0.66,3,Approved,True,0,0,0,1,0,3.33,1.54,2,20,2,2,1.0,99.23,100.0,0
APP10105,CIT10263,SCH005,2025-02-19,11641,0.0,2,Submitted,True,1,0,0,1,1,2.99,0.0,2,1,2,2,0.5,99.44,38.43,44
APP10106,CIT10135,SCH004,2025-02-19,32844,6.97,4,Approved,False,0,0,0,0,0,4.03,0.43,1,-1,1,1,1.0,97.24,100.0,0
APP10107,CIT10306,SCH008,2025-02-20,26961,1.74,5,Submitted,False,0,0,0,0,0,1.17,0.57,1,-1,1,1,1.0,100.0,100.0,2
APP10108,CIT10242,SCH004,2025-02-20,52131,0.68,3,Approved,False,0,0,0,0,0,1.29,1.49,1,-1,1,1,0.75,97.84,85.05,5
APP10109,CIT10386,SCH004,2025-02-21,76223,0.28,4,Submitted,False,0,0,0,0,0,16.12,3.45,1,-1,1,1,1.0,89.97,98.11,7
APP10110,CIT10303,SCH012,2025-02-21,90708,0.21,4,Approved,False,0,0,0,0,0,2.51,5.0,1,-1,1,1,1.0,97.19,100.0,2
APP10111,CIT10270,SCH012,2025-02-22,26600,0.0,4,Approved,True,0,0,0,1,0,2.86,0.0,2,18,2,2,1.0,98.22,99.68,0
APP10112,CIT10287,SCH002,2025-02-22,11541,0.0,4,Approved,False,0,0,0,0,0,3.82,0.0,1,-1,1,1,1.0,100.0,100.0,0
APP10113,CIT10050,SCH001,2025-02-23,12324,0.0,4,Submitted,False,0,0,0,0,0,2.7,0.0,1,-1,1,1,1.0,99.5,100.0,2
APP10114,CIT10189,SCH004,2025-02-23,11690,0.29,3,Submitted,False,0,0,0,0,0,2.58,3.33,1,-1,1,1,0.75,98.06,86.48,1
APP10115,CIT10297,SCH007,2025-02-24,37548,0.0,4,Submitted,False,0,0,0,0,0,0.5,0.0,1,-1,1,1,1.0,100.0,100.0,0
APP10116,CIT10014,SCH012,2025-02-24,11755,0.0,4,Under Review,False,0,0,0,0,0,2.04,0.0,1,-1,1,1,1.0,99.8,100.0,0
APP10117,CIT10389,SCH009,2025-02-25,66146,1.34,1,Under Review,False,0,0,0,0,1,14.52,6.35,1,-1,1,1,0.33,89.79,57.99,29
APP10118,CIT10459,SCH009,2025-02-25,259278,0.0,3,Submitted,False,0,0,0,0,0,3.47,0.0,1,-1,1,1,1.0,99.14,98.38,3
APP10119,CIT10232,SCH012,2025-02-25,40428,2.84,4,Under Review,False,0,0,0,0,0,2.98,12.7,1,-1,1,1,1.0,93.89,97.02,10
APP10120,CIT10261,SCH010,2025-02-26,100954,0.2,4,Approved,True,0,0,0,0,0,2.29,0.0,2,52,2,1,1.0,100.0,98.08,2
APP10121,CIT10192,SCH001,2025-02-26,70734,2.73,2,Submitted,True,1,0,0,1,1,2.23,3.8,2,1,2,2,0.5,95.98,37.38,39
APP10122,CIT10413,SCH005,2025-02-27,77429,0.0,4,Submitted,False,0,0,0,0,0,3.56,0.0,1,-1,1,1,1.0,96.58,97.04,0
APP10123,CIT10203,SCH007,2025-02-27,68273,0.48,3,Submitted,True,0,0,0,1,0,3.06,2.13,2,38,2,2,0.75,96.52,82.22,0
APP10124,CIT10261,SCH007,2025-02-28,95362,0.2,5,Approved,True,0,0,0,1,0,3.38,0.0,3,2,3,2,1.0,100.0,68.32,38
APP10125,CIT10113,SCH010,2025-02-28,20049,0.17,5,Under Review,True,0,0,0,0,0,1.9,0.0,2,53,1,0,1.0,98.31,100.0,4
APP10126,CIT10374,SCH006,2025-03-01,50992,0.75,4,Approved,False,0,0,0,0,0,2.23,0.0,1,-1,1,1,1.0,99.99,100.0,0
APP10127,CIT10352,SCH011,2025-03-01,115915,0.0,4,Under Review,True,0,0,0,0,0,2.65,0.0,2,14,2,1,1.0,100.0,98.03,4
APP10128,CIT10036,SCH010,2025-03-02,74796,0.5,5,Under Review,False,0,0,0,0,0,13.96,1.96,1,-1,1,0,1.0,91.57,99.17,9
APP10129,CIT10079,SCH004,2025-03-02,13756,0.8,4,Under Review,False,0,0,0,0,0,2.13,2.44,1,-1,1,1,1.0,96.95,99.0,6
APP10130,CIT10275,SCH003,2025-03-03,27607,1.63,3,Approved,True,0,1,0,1,1,55.99,0.61,2,28,2,2,0.75,75.31,82.05,19
APP10131,CIT10448,SCH012,2025-03-03,35961,0.0,5,Under Review,False,0,0,0,0,0,1.46,0.0,1,-1,1,1,1.0,98.01,98.59,1
APP10132,CIT10278,SCH009,2025-03-04,99298,0.13,5,Submitted,True,0,0,1,0,0,3.42,43.48,2,44,2,1,1.0,77.8,100.0,20
APP10133,CIT10162,SCH012,2025-03-04,29161,5.11,3,Approved,False,0,0,0,0,0,3.57,1.39,1,-1,1,1,0.75,97.97,84.8,3
APP10134,CIT10312,SCH010,2025-03-05,56301,1.15,5,Under Review,False,0,0,0,0,0,0.71,2.54,1,-1,1,0,1.0,98.77,100.0,0
APP10135,CIT10017,SCH004,2025-03-05,46202,0.69,2,Approved,False,0,0,0,0,1,2.3,1.43,3,1,1,1,0.5,97.33,39.25,50
APP10136,CIT10204,SCH008,2025-03-06,59325,0.75,4,Submitted,False,0,0,1,0,0,2.99,70.45,1,-1,1,1,1.0,67.67,100.0,27
APP10137,CIT10473,SCH001,2025-03-06,57171,0.0,4,Submitted,False,0,0,0,0,0,2.49,0.0,1,-1,1,1,1.0,97.64,100.0,2
APP10138,CIT10440,SCH007,2025-03-06,73092,0.0,4,Approved,False,0,0,0,0,0,5.17,0.0,1,-1,1,1,1.0,97.39,98.36,5
APP10139,CIT10017,SCH012,2025-03-07,24908,0.7,2,Rejected,True,1,1,0,1,1,47.33,0.0,2,2,2,2,0.5,79.82,38.89,64
APP10140,CIT10202,SCH006,2025-03-07,61925,0.0,4,Under Review,False,0,0,0,0,0,2.93,0.0,1,-1,1,1,1.0,96.77,100.0,0
APP10141,CIT10476,SCH012,2025-03-08,85302,7.17,4,Submitted,False,0,0,0,0,0,0.35,0.28,1,-1,1,1,1.0,97.93,100.0,0
APP10142,CIT10210,SCH001,2025-03-08,27228,0.69,4,Approved,False,0,0,0,0,0,0.07,28.87,1,-1,1,1,1.0,87.71,98.37,15
APP10143,CIT10499,SCH004,2025-03-09,11989,0.36,4,Under Review,False,0,0,0,0,0,0.09,2.7,1,-1,1,1,1.0,96.82,97.2,0
APP10144,CIT10402,SCH012,2025-03-09,12543,0.0,4,Approved,False,0,0,0,0,0,0.81,0.0,1,-1,1,1,1.0,97.8,100.0,5
APP10145,CIT10429,SCH005,2025-03-10,13754,0.0,4,Under Review,False,0,0,0,0,0,0.9,0.0,1,-1,1,1,1.0,100.0,100.0,5
APP10146,CIT10480,SCH011,2025-03-10,37582,0.31,4,Approved,False,0,0,0,0,0,1.14,0.0,1,-1,1,0,1.0,98.45,97.01,9
APP10147,CIT10078,SCH008,2025-03-11,109897,2.61,4,Under Review,False,0,0,0,0,0,2.39,9.21,1,-1,1,1,1.0,95.22,100.0,9
APP10148,CIT10056,SCH004,2025-03-11,18382,0.0,3,Approved,False,0,0,0,0,0,1.72,0.0,1,-1,1,1,0.75,97.33,82.54,0
APP10149,CIT10080,SCH003,2025-03-12,122383,0.66,4,Under Review,True,0,0,0,1,0,3.53,1.54,3,22,3,3,1.0,98.88,98.08,21
APP10150,CIT10306,SCH002,2025-03-12,27276,1.7,5,Submitted,True,0,0,0,1,0,2.35,2.86,2,20,2,2,1.0,96.33,100.0,0
APP10151,CIT10058,SCH004,2025-03-13,53967,1.45,3,Approved,False,0,0,0,0,0,1.93,0.0,1,-1,1,1,0.75,99.37,83.48,0
APP10152,CIT10018,SCH011,2025-03-13,32525,0.0,3,Submitted,True,0,0,0,0,0,2.79,0.0,2,46,2,1,0.75,97.59,85.34,0
APP10153,CIT10208,SCH010,2025-03-14,165180,2.46,5,Submitted,False,0,0,0,0,0,2.23,2.5,1,-1,1,0,1.0,99.83,100.0,6
APP10154,CIT10465,SCH004,2025-03-14,95373,0.18,5,Approved,False,0,0,0,0,0,1.46,0.0,1,-1,1,1,1.0,98.09,100.0,0
APP10155,CIT10135,SCH010,2025-03-15,36155,6.77,4,Approved,True,0,0,0,0,0,5.65,2.45,2,24,2,1,1.0,98.33,100.0,4
APP10156,CIT10332,SCH005,2025-03-15,11036,0.0,3,Under Review,False,0,0,0,0,0,8.03,0.0,1,-1,1,1,0.75,96.69,83.97,1
APP10157,CIT10482,SCH007,2025-03-15,56703,0.0,2,Approved,True,1,0,0,0,1,7.11,0.0,2,1,2,1,0.5,95.15,40.55,50
APP10158,CIT10010,SCH009,2025-03-16,84289,0.0,5,Approved,False,0,0,0,0,0,2.51,0.0,1,-1,1,1,1.0,100.0,99.43,7
APP10159,CIT10069,SCH002,2025-03-16,43254,1.48,4,Approved,False,0,0,0,0,0,5.22,1.33,1,-1,1,1,1.0,97.89,97.51,4
APP10160,CIT10341,SCH005,2025-03-17,135904,0.0,5,Approved,False,0,0,0,0,0,1.98,0.0,1,-1,1,1,1.0,100.0,100.0,4
APP10161,CIT10387,SCH011,2025-03-17,42898,0.2,3,Submitted,False,0,0,0,0,0,16.77,0.0,1,-1,1,0,0.75,92.04,83.63,7
APP10162,CIT10083,SCH010,2025-03-18,12086,0.0,1,Approved,False,0,0,0,0,1,14.73,0.0,1,-1,1,0,0.33,93.73,58.33,31
APP10163,CIT10109,SCH009,2025-03-18,10219,0.27,2,Under Review,False,0,1,0,0,1,71.35,3.85,1,-1,1,1,0.67,66.56,78.65,23
APP10164,CIT10044,SCH012,2025-03-19,46934,1.01,1,Approved,False,0,1,0,0,1,63.59,0.98,1,-1,1,1,0.25,71.69,57.96,57
APP10165,CIT10483,SCH003,2025-03-19,40436,0.0,4,Submitted,True,0,0,0,1,0,1.9,0.0,2,57,2,2,1.0,97.79,99.56,0
APP10166,CIT10454,SCH001,2025-03-20,120860,0.0,4,Submitted,False,0,0,0,0,0,0.25,0.0,1,-1,1,1,1.0,100.0,97.58,3
APP10167,CIT10398,SCH002,2025-03-20,115588,0.01,4,Approved,True,0,0,0,1,0,0.73,0.0,3,38,3,3,1.0,100.0,100.0,14
APP10168,CIT10132,SCH006,2025-03-21,36054,0.0,4,Under Review,False,0,0,0,0,0,0.94,0.0,1,-1,1,1,1.0,100.0,100.0,0
APP10169,CIT10493,SCH005,2025-03-21,12432,0.0,4,Approved,False,0,0,0,0,0,3.6,0.0,1,-1,1,1,1.0,96.79,98.52,1
APP10170,CIT10499,SCH001,2025-03-22,10723,0.38,5,Under Review,True,0,0,0,1,0,10.64,2.7,2,13,2,2,1.0,93.17,100.0,12
APP10171,CIT10018,SCH001,2025-03-22,30430,0.0,3,Approved,True,1,0,0,1,1,9.05,0.0,6,2,3,2,0.75,97.28,55.09,41
