citizen_id,age,gender,annual_income,occupation,land_area,family_size,education_level,disability_status,marital_status,employment_status,village,existing_scheme_count,bank_account,ration_card,aadhaar_verified,housing_condition,health_condition,farmer_status,senior_citizen,previous_benefit_received
CIT10129,47,Male,83884,Agricultural Laborer,1.05,5,Illiterate,False,Widowed,Seasonal,Melur,0,True,PHH,False,Semi-Pucca,Chronic Illness,True,False,False
CIT10130,79,Male,49786,Student,0.72,6,Secondary,False,Married,Employed,Perur,0,True,NPHH,True,Pucca,Good,True,True,True
CIT10131,79,Male,43123,Farmer,0.0,8,Secondary,False,Married,Unemployed,Kovilpatti,1,True,PHH,True,Semi-Pucca,Good,False,True,False
CIT10132,18,Female,35717,Farmer,0.0,5,Primary,False,Widowed,Seasonal,Kovilpatti,0,True,NPHH,True,Pucca,Chronic Illness,False,False,True
CIT10133,44,Female,228527,Farmer,0.0,5,Secondary,False,Married,Employed,Keeranur,2,True,PHH,True,Kutcha,Good,False,False,False
CIT10134,79,Male,67077,Student,0.2,3,Secondary,False,Single,Employed,Melur,1,True,NPHH,True,Semi-Pucca,Good,True,True,False
CIT10135,20,Female,34223,Unemployed,6.94,3,Secondary,False,Married,Unemployed,Perur,2,True,PHH,True,Kutcha,Chronic Illness,True,False,False
CIT10136,44,Male,136770,Agricultural Laborer,0.0,4,Higher Secondary,False,Widowed,Employed,Kovilpatti,1,True,AAY,True,Pucca,Good,False,False,True
CIT10137,26,Male,72019,Farmer,3.89,5,Primary,False,Married,Employed,Sundarpuram,0,True,NPHH,True,Kutcha,Good,True,False,True
CIT10138,79,Male,28125,Artisan,1.55,6,Secondary,False,Single,Seasonal,Kovilpatti,2,True,PHH,True,Semi-Pucca,Good,True,True,False
CIT10139,54,Male,59092,Retired,3.3,2,Graduate,False,Married,Unemployed,Perur,0,True,PHH,True,Kutcha,Chronic Illness,True,False,True
CIT10140,68,Male,70037,Student,0.72,6,Higher Secondary,True,Married,Employed,Vadapalani,1,True,PHH,False,Kutcha,Good,True,True,False
CIT10141,61,Female,59563,Retired,2.03,4,Graduate,False,Single,Seasonal,Vadapalani,0,True,AAY,True,Semi-Pucca,Good,True,True,False
CIT10142,41,Female,90089,Student,0.0,4,Primary,False,Married,Seasonal,Keeranur,1,True,AAY,True,Semi-Pucca,Good,False,False,True
CIT10143,76,Male,12000,Student,0.0,2,Higher Secondary,False,Single,Unemployed,Melur,1,True,PHH,True,Kutcha,Chronic Illness,False,True,False
CIT10144,49,Male,28742,Agricultural Laborer,2.12,2,Secondary,False,Married,Employed,Perur,1,True,AAY,True,Kutcha,Good,True,False,False
CIT10145,69,Male,94317,Agricultural Laborer,0.06,4,Illiterate,False,Married,Self-Employed,Keeranur,3,True,PHH,False,Semi-Pucca,Good,False,True,True
CIT10146,79,Female,21028,Farmer,0.0,4,Higher Secondary,True,Married,Self-Employed,Chinnamanur,2,True,PHH,True,Semi-Pucca,Good,False,True,True
CIT10147,75,Male,72818,Unemployed,0.15,3,Secondary,False,Married,Self-Employed,Kovilpatti,2,True,AAY,True,Kutcha,Chronic Illness,False,True,False
CIT10148,69,Female,90431,Private Service,0.0,4,Illiterate,False,Married,Seasonal,Chinnamanur,2,True,NPHH,True,Semi-Pucca,Minor Ailment,False,True,True
CIT10149,29,Other,12000,Small Business Owner,0.0,5,Illiterate,False,Married,Self-Employed,Kovilpatti,0,True,PHH,True,Kutcha,Good,False,False,False
CIT10150,56,Female,12000,Farmer,1.02,5,Higher Secondary,False,Married,Employed,Vadapalani,1,True,NPHH,True,Semi-Pucca,Good,True,False,True
CIT10151,19,Female,64707,Farmer,1.52,6,Illiterate,False,Married,Self-Employed,Keeranur,0,True,None,True,Kutcha,Chronic Illness,True,False,False
CIT10152,20,Male,37434,Farmer,3.66,3,Illiterate,False,Married,Employed,Vadapalani,0,True,NPHH,True,Semi-Pucca,Good,True,False,True
CIT10153,73,Female,169144,Farmer,0.0,3,Primary,False,Single,Self-Employed,Sundarpuram,4,True,AAY,False,Kutcha,Good,False,True,False
CIT10154,76,Female,57086,Small Business Owner,3.64,4,Illiterate,False,Married,Self-Employed,Chinnamanur,1,True,NPHH,False,Pucca,Chronic Illness,True,True,False
CIT10155,19,Female,29566,Private Service,5.86,3,Graduate,False,Married,Employed,Chinnamanur,1,True,PHH,True,Kutcha,Minor Ailment,True,False,True
CIT10156,19,Male,67448,Farmer,1.07,2,Secondary,False,Married,Unemployed,Vadapalani,0,False,AAY,True,Kutcha,Good,True,False,True
CIT10157,71,Male,64557,Farmer,0.0,3,Secondary,False,Widowed,Employed,Sundarpuram,1,True,PHH,True,Kutcha,Good,False,True,False
CIT10158,18,Male,34832,Small Business Owner,0.0,3,Graduate,False,Divorced,Employed,Kovilpatti,0,True,AAY,True,Pucca,Good,False,False,False
CIT10159,36,Female,12000,Farmer,1.56,3,Secondary,False,Married,Self-Employed,Keeranur,0,True,PHH,True,Semi-Pucca,Good,True,False,True
CIT10160,19,Female,55268,Artisan,0.0,3,Primary,False,Married,Employed,Sundarpuram,0,True,NPHH,True,Semi-Pucca,Chronic Illness,False,False,True
CIT10161,70,Female,47465,Farmer,0.0,3,Higher Secondary,False,Married,Self-Employed,Keeranur,1,True,PHH,True,Pucca,Chronic Illness,False,True,True
CIT10162,61,Male,28157,Farmer,5.04,1,Primary,False,Married,Employed,Chinnamanur,1,True,PHH,True,Pucca,Disabled,True,True,True
CIT10163,49,Female,12000,Farmer,0.0,4,Primary,False,Married,Self-Employed,Keeranur,0,True,PHH,True,Semi-Pucca,Good,False,False,False
CIT10164,49,Male,26871,Farmer,7.07,4,Secondary,False,Widowed,Self-Employed,Chinnamanur,2,True,None,True,Kutcha,Good,True,False,False
CIT10165,72,Male,26492,Small Business Owner,0.19,4,Higher Secondary,False,Married,Self-Employed,Sundarpuram,0,True,None,False,Pucca,Good,False,True,True
CIT10166,73,Male,76829,Farmer,2.11,2,Higher Secondary,False,Divorced,Unemployed,Chinnamanur,1,True,PHH,True,Kutcha,Good,True,True,False
CIT10167,34,Female,47191,Agricultural Laborer,0.26,3,Graduate,False,Married,Seasonal,Melur,4,True,None,True,Semi-Pucca,Chronic Illness,True,False,True
CIT10168,55,Male,113001,Agricultural Laborer,0.1,4,Higher Secondary,False,Married,Employed,Chinnamanur,1,True,AAY,True,Semi-Pucca,Good,False,False,False
CIT10169,41,Female,78913,Farmer,1.46,4,Higher Secondary,False,Married,Employed,Vadapalani,2,False,NPHH,True,Pucca,Good,False,False,True
CIT10170,28,Female,26069,Farmer,0.0,4,Higher Secondary,False,Single,Unemployed,Sundarpuram,3,False,PHH,False,Semi-Pucca,Good,False,False,True
CIT10171,33,Male,38171,Agricultural Laborer,3.03,3,Illiterate,False,Married,Employed,Kovilpatti,1,True,AAY,True,Semi-Pucca,Minor Ailment,True,False,False
CIT10172,76,Female,219440,Student,0.0,6,Primary,True,Married,Seasonal,Keeranur,2,True,NPHH,True,Pucca,Chronic Illness,False,True,True
CIT10173,20,Male,28128,Private Service,0.21,3,Secondary,False,Single,Employed,Perur,2,True,AAY,True,Kutcha,Chronic Illness,True,False,False
CIT10174,37,Male,59178,Farmer,0.0,4,Secondary,False,Married,Self-Employed,Sundarpuram,1,True,AAY,True,Kutcha,Good,False,False,False
CIT10175,76,Male,13491,Farmer,0.03,4,Illiterate,False,Married,Self-Employed,Vadapalani,0,True,AAY,True,Semi-Pucca,Good,False,True,True
CIT10176,53,Male,116731,Farmer,0.0,4,Primary,False,Married,Employed,Chinnamanur,3,True,NPHH,True,Pucca,Good,False,False,False
CIT10177,36,Female,31763,Agricultural Laborer,0.64,3,Primary,False,Married,Self-Employed,Keeranur,2,True,PHH,True,Kutcha,Good,False,False,True
CIT10178,84,Male,33643,Small Business Owner,0.0,3,Secondary,False,Single,Employed,Melur,0,True,PHH,True,Kutcha,Good,False,True,False
CIT10179,36,Female,26937,Unemployed,0.0,5,Higher Secondary,False,Divorced,Unemployed,Kovilpatti,1,True,PHH,True,Kutcha,Good,False,False,True
CIT10180,37,Female,28305,Student,0.0,3,Graduate,False,Single,Employed,Melur,2,True,PHH,True,Kutcha,Good,False,False,True
